,index,fn tweet
0,144,JP Crawford outside shot AllStar replacement Carlos Correa andor Jose Altuve Tim Anderson Joey Wendle wound taking spots Crawford talked earlier week selected httpstcoNTietSjx
1,354,lifewithmikey For whatever reason They big parts last years team got within game World Series Sorry fan anger back change fact reasons like injuries team great
2,449,mroberson My doctors appointment get reupped ADD rage meds They seem work much baseball season
3,450,royal He fine went full Bp Just day day back
4,516,Nick Neidert optioned Daniel Castano day IL free roster space
5,592,Cora Ohtani Hes amazing Cora said facing like dealing Trout careful still attack follow pitching plan RedSox
6,732,Mark Kotsay thought better running Carlos Correas arm
7,744,Ryan Castellani rejoin TripleA Isotopes cleared waivers Rockies said
8,808,AllisonMFFL getting jobs going tough considering cancer
9,920,Mark Canha hit cage yesterday baseball activities Oakland Bob Melvin said Melvin said As likely better idea couple days series Texas AllStar Break possibility Canha Athletics
10,1073,Lamet pitch AllStar break Snell still struggling get back strength start tomorrow TBA
11,1085,Cole coming back
12,1124,If go back April day Whit first steal another day White Sox day I believe got questionably overturned potentially affecting whole thing Would go back game doublecheck almost positive
13,1156,Man things gone bad worse Cubs inning Arrietas throw goes wide bag Wisdom goes heap collision MILs Taylor Brewers score twice play trail nd inning
14,1342,Pelayo Pain
15,1379,Bob Melvin said considered asking review play home replay showed throw took Maldonado ended front plate
16,1391,Ronald Acuña Jr loanDepot park crutches httpstcouVqfkyC
17,1442,Cashman said players could end positive vaccinated He said combination JampJ shot vaccines among And said players confirmed positive tests well
18,1608,La Russa Katz trainer visit mound count Giolito throws warmup pitch leaving
19,1624,Harold Ramirez playing first Indians Bobby Bradley pulled game injury announced yet But first time Ramirez ever played first minors majors
20,1672,A bullpen progressed sim game Looks like Gonzalez face Matt Beaty Zach McKinstry
21,1727,Kotsay decided testing Brantleys arm time
22,1734,He missed like week false positive
23,1785,Olympic Village resident gamesconcerned personnel athlete tests positive COVID httpstconSKVazUaBO
24,1972,Brandon Hyde said Matt Harvey needs little breather Has grinding taking turn every time Some fatigue Will recharge little bit break orioles
25,1991,Steven Matz said felt good live bullpen session even warmups tonight game started The sharpness It little frustrating BlueJays
26,2006,After allowing earned runs straight starts June May Michael Pineda tagged ER twice last four starts
27,2147,Milwaukee Journal Sentinel Brewers must fill blanks pitching staff losses COVID httpstcoQMhGOpNNtD
28,2277,India remain game He stretching shoulder Reds
29,2328,George Springer ran bases today felt good Montoyo says BlueJays
30,2339,ProviderOfTruth BearsFanatico Treating vaccine amp trying prevent point symptoms require treatment vaccine different things That I saying It rocket surgery
31,2527,NY Mets manager Luis Rojas receives twogame suspension fine excessive arguing umpires Sundays game
32,2547,Today baltimoresun cover Story Trey Mancini shared cancer battle former Notre Dame teammate Ricky Palmer httpstcohTZnmwH httpstcomhQgrdayBv
33,2555,Full schedule Sunshine Slam released An unexpected surprise Bryant URI Nov httpstcojapIYsbX
34,2610,The Giants outscored since I excitedly ordered chicken strips got handed plate three tiny nuggets Steven Duggars arm prevented damage
35,2685,Gausman says understands Giants regular season game important ASG would love pitch Posey game played min Gausman grew
36,2723,MGigga Probably unless injury He great season become prospect big leap Triple A majors Just putting numbers Triple A mean better Straw McCormick
37,2770,Boone said Luke Voit good go physically felt like good day give break
