,index,fp tweet
0,127,"#KBO: LG Twins announced today their new 1B Justin Bour @bour41 will arrive in Korea on July 15. He'll serve his mandatory 14-day quarantine, but that should still give him enough time to train and join the Twins in time for the resumption of the season on Aug. 10."
1,188,#Brewers Kolten Wong talks about frustration of first half injuries and wanting to get back on the field after the break.  https://t.co/GprZt2i4Rl
2,205,"Still no update on Mitch Moreland's absence, but he is expected be out until post-All-Star.  https://t.co/Fw6zUx2SeP"
3,215,Blake Snell has been scratched from his scheduled start tonight.  Craig Stammen will start.
4,340,"BTW, Diplan has been on temporary inactive list but will be back on Norfolk roster today. He's been in Mexico for the Olympic qualifier."
5,534,Abolish hamstrings
6,577,"Justin Upton is in Seattle with the #Angels, but Joe Maddon said he is still not anticipating Upton playing this weekend"
7,629,“It was terrible.”  Padres pregame: Going for another sweep of Reds; Blake Snell recovering from food poisoning  https://t.co/MpkwUrMfz7
8,668,"Neither Anthony Rendon nor Taylor Ward are playing tonight. Neither on the IL yet, but Joe Maddon unsure yet if that’ll happen."
9,757,"Steven Matz said that he felt good through his live bullpen session and even warmups tonight, but when the game started:  “The sharpness just wasn’t there. It was a little frustrating.” #BlueJays"
10,899,"Wisdom hit in the left hand/wrist by Woodruff's pitch. In some pretty serious pain but after a convo with Ross/trainer, stays in the game."
11,966,Niko Goodrum will have a utility-type role upon his return which could include some more time in the outfield.   Sounds like Hinch wants to keep giving Short an extended look at short.
12,1148,"Ippei Mizuhara, who serves as Shohei Ohtani's interpreter, will be the catcher when Ohtani participates in the Home Run Derby on Monday. Bullpen catcher Jason Brown will throw to Ohtani. Ohtani hasn't taken BP on the field since Opening Day but hits in the cages instead."
13,1277,"@MelnykMustGo @SavageDipoto Well, I don't think they anticipated Pax, Margevicius and LJAy to have season-ending injuries or that Sheffield would struggle this much."
14,1317,"@TCollinsDFS Snitker said he plans to split the duties between Lucroy and Kevan Smith for the time being. They just optioned Contreras, so I wouldn't expect him to be back soon unless there's an injury."
15,1318,@RoundRockTim @CWR4 Dusty said before Wednesday's game that he would probably give Brantley off on Thursday.
16,1341,"Justin Hardee, a special teams standout, just headed inside with a trainer while walking with a little bit of a limp. #Jets"
17,1349,Blake Snell is fully vaccinated and has tested negative for Covid.
18,1485,Will Juan Soto rediscover his power stroke? Can injured stars return to make a big difference? What happens at the trade deadline?  @MarkZuckerman looks at the Nats' second-half storylines.  https://t.co/TaCLHrUELF
19,1557,- Ka'ai Tom has resumed baseball activities.
20,1592,Girardi: Ranger Suarez hurt his back before the game. He wasn't available. Probably would have used him in the fifth instead of Neftali Feliz.
21,1608,"Miguel Yajure has resumed throwing off the mound and has started a side progression, per Tomczyk.  First on the news: Literally, Miguel Yajure."
22,1744,"Jayce Tingler said the Padres aren't near the top in terms of sticky stuff usage. He also expressed concern about a hard-line approach to anything but rosin. ""We're coming up with some aches and pains in different spots. Is that because we're 70 games in? ... I don't think so."""
23,1759,"Wanda the Walleye did not win tonight's Minnesota animal race. In other news, it looked like the Target dog suffered like four injuries at once while coming out of the gate and limped through the raindrops. Still managed to give out high fives, though. A real gutsy performance."
24,1822,"What a series this was for the Orioles. They swept the first-place Astros in Houston, despite injury and two games of walks.   Wednesday’s victory was the cleanest and most collective, maybe of their entire season.    FINAL: Orioles, 5. Astros, 2."
25,1986,"Paolo Espino will start tomorrow, Jon Lester likely Saturday and then Erick Fedde on Sunday before the All Star break."
26,1996,"In today's episode of @DeepLFPodcast (dropping shortly), I asked Austin Martin about playing CF vs. SS:  ""Outfield is pretty easy, I'm not gonna lie. You just run around, catch pop flies and say 'I got it"" every once in a while."" Fantastic answer. #Bluejays"
27,2162,"Jose Ramirez was hit in the face w/ a foul ball, requiring a trip to the hospital. He returned during the second game and told Terry Francona, 'I'm ready to go in'  Tito: 'He's unbelievable'  On Ramirez's night and a good sign for Bobby Bradley's swing:  https://t.co/AqYlYa8226"
28,2296,Brian Cashman: All positives and expected positives all within the player ranks.
29,2403,"Steven Matz has cleared COVID-19 protocol and rejoined Blue Jays. He threw 60 pitches of live batting practice at Sahlen Field in Buffalo today.  No exact date yet, but Matz is expected to make his next start for Blue Jays. Likely during next week’s series vs. Mariners."
30,2470,"Johnny Cueto has been sick this week, said he's been getting fluids for the last three days and didn't have any energy. But added that's not an excuse, he wanted to pitch."
31,2701,"@frank_seravalli @IneffectiveMath @GarretHohl A number of professional athletes were unable to find space to schedule surgeries as the pandemic surged last fall and winter. This was an issue for baseball players in need of Tommy John, for instance."
32,2955,This was a really good piece from Jarrod a couple weeks ago on the recently recalled Rodolfo Castro. Give it a read if you haven't already
33,2957,"Maddon said even if they don't play tomorrow, ""it should not be something elongated. That's the original diagnosis I've been given."""
34,3061,"#MNTwins scratched Charlie Barnes from his scheduled start Wednesday for the St. Paul Saints so he can make his major league debut Friday, when they face the Detroit Tigers.  https://t.co/EUKLpPhcS2"
35,3079,Some earlier #RedSox news via the @WooSox game notes -- Bobby Poyner has been released. Jose Adames transferred from Double-A Portland.  Poyner posted a 9.69 ERA in eight games this season and 4.50 ERA in 33 games with Boston from 2018-19. Selected in the 14th round in 2015.
36,3109,Giants say Brandon Belt is starting light baseball activity today.
